"V","H","S","M"
0.338156758,0,"Dry and Sandy","NA"
0.320241334,0.181818182,"Dry and Sandy","NA"
0.28700875,0.272727273,"Dry and Sandy","NA"
0.256283622,0.454545455,"Dry and Sandy","NA"
0.262839599,0.545454545,"Dry and Sandy","NA"
0.240966463,0.727272727,"Dry and Sandy","NA"
0.254410486,0.818181818,"Dry and Sandy","NA"
0.234924175,1,"Dry and Sandy","NA"
0.353473918,0,"Humid and Sandy","NA"
0.335347054,0.181818182,"Humid and Sandy","NA"
0.335347054,0.272727273,"Humid and Sandy","NA"
0.330029894,0.454545455,"Humid and Sandy","NA"
0.335347054,0.545454545,"Humid and Sandy","NA"
0.305135614,0.727272727,"Humid and Sandy","NA"
0.256283622,0.818181818,"Humid and Sandy","NA"
0.235649303,1,"Humid and Sandy","NA"
0.315347054,0,"Dry and Humus","NA"
0.283987607,0.181818182,"Dry and Humus","NA"
0.303262478,0.272727273,"Dry and Humus","NA"
0.274924175,0.454545455,"Dry and Humus","NA"
0.260029894,0.545454545,"Dry and Humus","NA"
0.259818455,0.727272727,"Dry and Humus","NA"
0.283987607,0.818181818,"Dry and Humus","NA"
0.265860743,1,"Dry and Humus","NA"
0.323051038,0,"Humid and Humus","NA"
0.305135614,0.181818182,"Humid and Humus","NA"
0.314199046,0.272727273,"Humid and Humus","NA"
0.30211447,0.454545455,"Humid and Humus","NA"
0.323262478,0.545454545,"Humid and Humus","NA"
0.314199046,0.727272727,"Humid and Humus","NA"
0.323262478,0.818181818,"Humid and Humus","NA"
0.274199046,1,"Humid and Humus","NA"
0.34743163,0,"Dry and Limy","NA"
0.341691591,0.181818182,"Dry and Limy","NA"
0.296072182,0.272727273,"Dry and Limy","NA"
0.310398761,0.454545455,"Dry and Limy","NA"
0.296072182,0.545454545,"Dry and Limy","NA"
0.31743163,0.727272727,"Dry and Limy","NA"
0.329304766,0.818181818,"Dry and Limy","NA"
0.308156758,1,"Dry and Limy","NA"
0.338368198,0,"Humid and Limy","NA"
0.295014984,0.181818182,"Humid and Limy","NA"
0.27199384,0.272727273,"Humid and Limy","NA"
0.271903031,0.454545455,"Humid and Limy","NA"
0.29220528,0.545454545,"Humid and Limy","NA"
0.285347054,0.727272727,"Humid and Limy","NA"
0.30211447,0.909090909,"Humid and Limy","NA"
0.999998728,0,"Dry and Sandy","Anti-Tank"
0.999998728,0.090909091,"Dry and Sandy","Anti-Tank"
0.999998728,0.272727273,"Dry and Sandy","Anti-Tank"
0.906343265,0.363636364,"Dry and Sandy","Anti-Tank"
0.658609459,0.545454545,"Dry and Sandy","Anti-Tank"
0.610271155,0.636363636,"Dry and Sandy","Anti-Tank"
0.453171669,0.818181818,"Dry and Sandy","Anti-Tank"
0.442446541,0.909090909,"Dry and Sandy","Anti-Tank"
0.999998728,0,"Humid and Sandy","Anti-Tank"
0.999998728,0.090909091,"Humid and Sandy","Anti-Tank"
0.975829576,0.272727273,"Humid and Sandy","Anti-Tank"
0.815708945,0.363636364,"Humid and Sandy","Anti-Tank"
0.655588315,0.545454545,"Humid and Sandy","Anti-Tank"
0.628398019,0.636363636,"Humid and Sandy","Anti-Tank"
0.504531116,0.818181818,"Humid and Sandy","Anti-Tank"
0.474319677,0.909090909,"Humid and Sandy","Anti-Tank"
0.719032338,0,"Dry and Humus","Anti-Tank"
0.622355731,0.090909091,"Dry and Humus","Anti-Tank"
0.531721412,0.272727273,"Dry and Humus","Anti-Tank"
0.504531116,0.363636364,"Dry and Humus","Anti-Tank"
0.438065949,0.545454545,"Dry and Humus","Anti-Tank"
0.398791077,0.636363636,"Dry and Humus","Anti-Tank"
0.36253735,0.818181818,"Dry and Humus","Anti-Tank"
0.999998728,0,"Humid and Humus","Anti-Tank"
0.912385552,0.181818182,"Humid and Humus","Anti-Tank"
0.957702712,0.272727273,"Humid and Humus","Anti-Tank"
0.75830721,0.454545455,"Humid and Humus","Anti-Tank"
0.734138058,0.545454545,"Humid and Humus","Anti-Tank"
0.495256245,0.727272727,"Humid and Humus","Anti-Tank"
0.468277389,0.818181818,"Humid and Humus","Anti-Tank"
0.467340821,1,"Humid and Humus","Anti-Tank"
0.999998728,0,"Dry and Limy","Anti-Tank"
0.999998728,0.181818182,"Dry and Limy","Anti-Tank"
0.999998728,0.272727273,"Dry and Limy","Anti-Tank"
0.999998728,0.454545455,"Dry and Limy","Anti-Tank"
0.999998728,0.545454545,"Dry and Limy","Anti-Tank"
0.854983817,0.727272727,"Dry and Limy","Anti-Tank"
0.628398019,0.818181818,"Dry and Limy","Anti-Tank"
0.549848276,1,"Dry and Limy","Anti-Tank"
0.999998728,0,"Humid and Limy","Anti-Tank"
0.891237545,0.181818182,"Humid and Limy","Anti-Tank"
0.999998728,0.272727273,"Humid and Limy","Anti-Tank"
0.809666657,0.454545455,"Humid and Limy","Anti-Tank"
0.716011194,0.545454545,"Humid and Limy","Anti-Tank"
0.50755226,0.727272727,"Humid and Limy","Anti-Tank"
0.549848276,0.818181818,"Humid and Limy","Anti-Tank"
0.444108237,1,"Humid and Limy","Anti-Tank"
0.389304766,0,"Dry and Sandy","Anti-Personnel"
0.365347054,0.181818182,"Dry and Sandy","Anti-Personnel"
0.368579638,0.272727273,"Dry and Sandy","Anti-Personnel"
0.338156758,0.454545455,"Dry and Sandy","Anti-Personnel"
0.31722019,0.545454545,"Dry and Sandy","Anti-Personnel"
0.319093326,0.727272727,"Dry and Sandy","Anti-Personnel"
0.335347054,0.818181818,"Dry and Sandy","Anti-Personnel"
0.303262478,1,"Dry and Sandy","Anti-Personnel"
0.613292299,0.181818182,"Humid and Sandy","Anti-Personnel"
0.425981373,0.363636364,"Humid and Sandy","Anti-Personnel"
0.384621926,0.454545455,"Humid and Sandy","Anti-Personnel"
0.356495062,0.636363636,"Humid and Sandy","Anti-Personnel"
0.350685358,0.727272727,"Humid and Sandy","Anti-Personnel"
0.338368198,0.909090909,"Humid and Sandy","Anti-Personnel"
0.344410486,1,"Humid and Sandy","Anti-Personnel"
0.444108237,0.090909091,"Dry and Humus","Anti-Personnel"
0.389727645,0.181818182,"Dry and Humus","Anti-Personnel"
0.356495062,0.363636364,"Dry and Humus","Anti-Personnel"
0.353473918,0.454545455,"Dry and Humus","Anti-Personnel"
0.356495062,0.636363636,"Dry and Humus","Anti-Personnel"
0.314199046,0.727272727,"Dry and Humus","Anti-Personnel"
0.253776167,0.909090909,"Dry and Humus","Anti-Personnel"
0.574017428,0,"Humid and Humus","Anti-Personnel"
0.477340821,0.181818182,"Humid and Humus","Anti-Personnel"
0.483383109,0.272727273,"Humid and Humus","Anti-Personnel"
0.407854509,0.454545455,"Humid and Humus","Anti-Personnel"
0.386706501,0.545454545,"Humid and Humus","Anti-Personnel"
0.389727645,0.727272727,"Humid and Humus","Anti-Personnel"
0.365558494,0.818181818,"Humid and Humus","Anti-Personnel"
0.326283622,1,"Humid and Humus","Anti-Personnel"
0.664651747,0.181818182,"Dry and Limy","Anti-Personnel"
0.510573404,0.363636364,"Dry and Limy","Anti-Personnel"
0.483383109,0.454545455,"Dry and Limy","Anti-Personnel"
0.395769933,0.636363636,"Dry and Limy","Anti-Personnel"
0.36253735,0.727272727,"Dry and Limy","Anti-Personnel"
0.352748789,0.909090909,"Dry and Limy","Anti-Personnel"
0.352960229,1,"Dry and Limy","Anti-Personnel"
0.561932852,0.181818182,"Humid and Limy","Anti-Personnel"
0.586102004,0.272727273,"Humid and Limy","Anti-Personnel"
0.489425397,0.454545455,"Humid and Limy","Anti-Personnel"
0.425981373,0.545454545,"Humid and Limy","Anti-Personnel"
0.350452774,0.727272727,"Humid and Limy","Anti-Personnel"
0.335347054,0.818181818,"Humid and Limy","Anti-Personnel"
0.306495062,1,"Humid and Limy","Anti-Personnel"
0.513594548,0.090909091,"Dry and Sandy","Booby Trap Anti-Personnel"
0.407854509,0.272727273,"Dry and Sandy","Booby Trap Anti-Personnel"
0.389727645,0.363636364,"Dry and Sandy","Booby Trap Anti-Personnel"
0.338368198,0.545454545,"Dry and Sandy","Booby Trap Anti-Personnel"
0.353473918,0.636363636,"Dry and Sandy","Booby Trap Anti-Personnel"
0.368579638,0.818181818,"Dry and Sandy","Booby Trap Anti-Personnel"
0.36253735,0.909090909,"Dry and Sandy","Booby Trap Anti-Personnel"
0.501509972,0,"Humid and Sandy","Booby Trap Anti-Personnel"
0.441087093,0.090909091,"Humid and Sandy","Booby Trap Anti-Personnel"
0.404833365,0.363636364,"Humid and Sandy","Booby Trap Anti-Personnel"
0.37764307,0.454545455,"Humid and Sandy","Booby Trap Anti-Personnel"
0.34743163,0.636363636,"Humid and Sandy","Booby Trap Anti-Personnel"
0.330664214,0.727272727,"Humid and Sandy","Booby Trap Anti-Personnel"
0.329304766,0.909090909,"Humid and Sandy","Booby Trap Anti-Personnel"
0.309516206,1,"Humid and Sandy","Booby Trap Anti-Personnel"
0.531721412,0.181818182,"Dry and Humus","Booby Trap Anti-Personnel"
0.504531116,0.272727273,"Dry and Humus","Booby Trap Anti-Personnel"
0.438065949,0.454545455,"Dry and Humus","Booby Trap Anti-Personnel"
0.398791077,0.545454545,"Dry and Humus","Booby Trap Anti-Personnel"
0.36253735,0.727272727,"Dry and Humus","Booby Trap Anti-Personnel"
0.314199046,0.818181818,"Dry and Humus","Booby Trap Anti-Personnel"
0.329304766,1,"Dry and Humus","Booby Trap Anti-Personnel"
0.28125225,0,"Humid and Humus","Booby Trap Anti-Personnel"
0.273866976,0.181818182,"Humid and Humus","Booby Trap Anti-Personnel"
0.256465241,0.272727273,"Humid and Humus","Booby Trap Anti-Personnel"
0.227522439,0.454545455,"Humid and Humus","Booby Trap Anti-Personnel"
0.235649303,0.545454545,"Humid and Humus","Booby Trap Anti-Personnel"
0.207945319,0.727272727,"Humid and Humus","Booby Trap Anti-Personnel"
0.197733879,0.818181818,"Humid and Humus","Booby Trap Anti-Personnel"
0.24220528,0.090909091,"Dry and Limy","Booby Trap Anti-Personnel"
0.240332143,0.181818182,"Dry and Limy","Booby Trap Anti-Personnel"
0.262839599,0.454545455,"Dry and Limy","Booby Trap Anti-Personnel"
0.255860743,0.545454545,"Dry and Limy","Booby Trap Anti-Personnel"
0.233987607,0.727272727,"Dry and Limy","Booby Trap Anti-Personnel"
0.213096646,0.818181818,"Dry and Limy","Booby Trap Anti-Personnel"
0.234924175,1,"Dry and Limy","Booby Trap Anti-Personnel"
0.592144292,0,"Humid and Limy","Booby Trap Anti-Personnel"
0.416917941,0.181818182,"Humid and Limy","Booby Trap Anti-Personnel"
0.422960229,0.272727273,"Humid and Limy","Booby Trap Anti-Personnel"
0.407854509,0.454545455,"Humid and Limy","Booby Trap Anti-Personnel"
0.33232591,0.545454545,"Humid and Limy","Booby Trap Anti-Personnel"
0.329304766,0.727272727,"Humid and Limy","Booby Trap Anti-Personnel"
0.365558494,0.818181818,"Humid and Limy","Booby Trap Anti-Personnel"
0.329304766,1,"Humid and Limy","Booby Trap Anti-Personnel"
0.58308086,0,"Dry and Sandy","M14 Anti-Personnel"
0.311177902,0.181818182,"Dry and Sandy","M14 Anti-Personnel"
0.277945319,0.272727273,"Dry and Sandy","M14 Anti-Personnel"
0.335347054,0.454545455,"Dry and Sandy","M14 Anti-Personnel"
0.229607015,0.545454545,"Dry and Sandy","M14 Anti-Personnel"
0.290029894,0.727272727,"Dry and Sandy","M14 Anti-Personnel"
0.30211447,0.818181818,"Dry and Sandy","M14 Anti-Personnel"
0.314199046,1,"Dry and Sandy","M14 Anti-Personnel"
0.558911708,0,"Humid and Sandy","M14 Anti-Personnel"
0.501509972,0.181818182,"Humid and Sandy","M14 Anti-Personnel"
0.534742556,0.272727273,"Humid and Sandy","M14 Anti-Personnel"
0.489425397,0.454545455,"Humid and Sandy","M14 Anti-Personnel"
0.443805988,0.545454545,"Humid and Sandy","M14 Anti-Personnel"
0.389727645,0.727272727,"Humid and Sandy","M14 Anti-Personnel"
0.395044805,0.818181818,"Humid and Sandy","M14 Anti-Personnel"
0.365558494,1,"Humid and Sandy","M14 Anti-Personnel"
0.422960229,0.181818182,"Dry and Humus","M14 Anti-Personnel"
0.34743163,0.545454545,"Dry and Humus","M14 Anti-Personnel"
0.33232591,0.636363636,"Dry and Humus","M14 Anti-Personnel"
0.296072182,0.909090909,"Dry and Humus","M14 Anti-Personnel"
0.33232591,1,"Dry and Humus","M14 Anti-Personnel"
0.419184136,0.090909091,"Humid and Humus","M14 Anti-Personnel"
0.422839599,0.181818182,"Humid and Humus","M14 Anti-Personnel"
0.378368198,0.363636364,"Humid and Humus","M14 Anti-Personnel"
0.371600782,0.454545455,"Humid and Humus","M14 Anti-Personnel"
0.348791077,0.636363636,"Humid and Humus","M14 Anti-Personnel"
0.353685358,0.727272727,"Humid and Humus","M14 Anti-Personnel"
0.323262478,0.909090909,"Humid and Humus","M14 Anti-Personnel"
0.295347054,1,"Humid and Humus","M14 Anti-Personnel"
0.471298533,0.181818182,"Dry and Limy","M14 Anti-Personnel"
0.444108237,0.272727273,"Dry and Limy","M14 Anti-Personnel"
0.383685358,0.454545455,"Dry and Limy","M14 Anti-Personnel"
0.350875653,0.545454545,"Dry and Limy","M14 Anti-Personnel"
0.341389342,0.727272727,"Dry and Limy","M14 Anti-Personnel"
0.341389342,0.818181818,"Dry and Limy","M14 Anti-Personnel"
0.296072182,1,"Dry and Limy","M14 Anti-Personnel"
0.495467684,0.090909091,"Humid and Limy","M14 Anti-Personnel"
0.410875653,0.272727273,"Humid and Limy","M14 Anti-Personnel"
0.371600782,0.363636364,"Humid and Limy","M14 Anti-Personnel"
0.323262478,0.545454545,"Humid and Limy","M14 Anti-Personnel"
0.30211447,0.636363636,"Humid and Limy","M14 Anti-Personnel"
0.350452774,0.818181818,"Humid and Limy","M14 Anti-Personnel"
0.308156758,0.909090909,"Humid and Limy","M14 Anti-Personnel"
0.320241334,0.090909091,"Dry and Sandy","NA"
0.268881887,0.363636364,"Dry and Sandy","NA"
0.250241334,0.636363636,"Dry and Sandy","NA"
0.253776167,0.909090909,"Dry and Sandy","NA"
0.365860743,0.090909091,"Humid and Sandy","NA"
0.326072182,0.363636364,"Humid and Sandy","NA"
0.293776167,0.636363636,"Humid and Sandy","NA"
0.244712735,0.909090909,"Humid and Sandy","NA"
0.296585871,0.090909091,"Dry and Humus","NA"
0.274712735,0.363636364,"Dry and Humus","NA"
0.280966463,0.636363636,"Dry and Humus","NA"
0.229607015,0.909090909,"Dry and Humus","NA"
0.31700875,0.090909091,"Humid and Humus","NA"
0.314199046,0.363636364,"Humid and Humus","NA"
0.305135614,0.636363636,"Humid and Humus","NA"
0.296072182,0.909090909,"Humid and Humus","NA"
0.338368198,0.090909091,"Dry and Limy","NA"
0.30211447,0.363636364,"Dry and Limy","NA"
0.33232591,0.636363636,"Dry and Limy","NA"
0.30211447,0.909090909,"Dry and Limy","NA"
0.290029894,0.090909091,"Humid and Limy","NA"
0.259093326,0.363636364,"Humid and Limy","NA"
0.288368198,0.636363636,"Humid and Limy","NA"
0.28700875,1,"Humid and Limy","NA"
0.999998728,0.181818182,"Dry and Sandy","Anti-Tank"
0.78851865,0.454545455,"Dry and Sandy","Anti-Tank"
0.586102004,0.727272727,"Dry and Sandy","Anti-Tank"
0.439213957,1,"Dry and Sandy","Anti-Tank"
0.999998728,0.181818182,"Humid and Sandy","Anti-Tank"
0.725074626,0.454545455,"Humid and Sandy","Anti-Tank"
0.534742556,0.727272727,"Humid and Sandy","Anti-Tank"
0.450150525,1,"Humid and Sandy","Anti-Tank"
0.513594548,0.181818182,"Dry and Humus","Anti-Tank"
0.480361965,0.454545455,"Dry and Humus","Anti-Tank"
0.371600782,0.727272727,"Dry and Humus","Anti-Tank"
0.999998728,0.090909091,"Humid and Humus","Anti-Tank"
0.71299005,0.363636364,"Humid and Humus","Anti-Tank"
0.628398019,0.636363636,"Humid and Humus","Anti-Tank"
0.483383109,0.909090909,"Humid and Humus","Anti-Tank"
0.999998728,0.090909091,"Dry and Limy","Anti-Tank"
0.999998728,0.363636364,"Dry and Limy","Anti-Tank"
0.851962673,0.636363636,"Dry and Limy","Anti-Tank"
0.592144292,0.909090909,"Dry and Limy","Anti-Tank"
0.99395644,0.090909091,"Humid and Limy","Anti-Tank"
0.779455218,0.363636364,"Humid and Limy","Anti-Tank"
0.655588315,0.636363636,"Humid and Limy","Anti-Tank"
0.444108237,0.909090909,"Humid and Limy","Anti-Tank"
0.374621926,0.090909091,"Dry and Sandy","Anti-Personnel"
0.344410486,0.363636364,"Dry and Sandy","Anti-Personnel"
0.315558494,0.636363636,"Dry and Sandy","Anti-Personnel"
0.303685358,0.909090909,"Dry and Sandy","Anti-Personnel"
0.492446541,0.272727273,"Humid and Sandy","Anti-Personnel"
0.374706501,0.545454545,"Humid and Sandy","Anti-Personnel"
0.356072182,0.818181818,"Humid and Sandy","Anti-Personnel"
0.534742556,0,"Dry and Humus","Anti-Personnel"
0.395769933,0.272727273,"Dry and Humus","Anti-Personnel"
0.353473918,0.545454545,"Dry and Humus","Anti-Personnel"
0.280966463,0.818181818,"Dry and Humus","Anti-Personnel"
0.480361965,0.090909091,"Humid and Humus","Anti-Personnel"
0.432023661,0.363636364,"Humid and Humus","Anti-Personnel"
0.271903031,0.636363636,"Humid and Humus","Anti-Personnel"
0.30211447,0.909090909,"Humid and Humus","Anti-Personnel"
0.549848276,0.272727273,"Dry and Limy","Anti-Personnel"
0.416917941,0.545454545,"Dry and Limy","Anti-Personnel"
0.380664214,0.818181818,"Dry and Limy","Anti-Personnel"
0.752264922,0.090909091,"Humid and Limy","Anti-Personnel"
0.52265798,0.363636364,"Humid and Limy","Anti-Personnel"
0.404833365,0.636363636,"Humid and Limy","Anti-Personnel"
0.311177902,0.909090909,"Humid and Limy","Anti-Personnel"
0.471298533,0.181818182,"Dry and Sandy","Booby Trap Anti-Personnel"
0.380664214,0.454545455,"Dry and Sandy","Booby Trap Anti-Personnel"
0.308156758,0.727272727,"Dry and Sandy","Booby Trap Anti-Personnel"
0.359516206,1,"Dry and Sandy","Booby Trap Anti-Personnel"
0.423473918,0.181818182,"Humid and Sandy","Booby Trap Anti-Personnel"
0.359516206,0.545454545,"Humid and Sandy","Booby Trap Anti-Personnel"
0.333685358,0.818181818,"Humid and Sandy","Booby Trap Anti-Personnel"
0.513594548,0.090909091,"Dry and Humus","Booby Trap Anti-Personnel"
0.480361965,0.363636364,"Dry and Humus","Booby Trap Anti-Personnel"
0.371600782,0.636363636,"Dry and Humus","Booby Trap Anti-Personnel"
0.326283622,0.909090909,"Dry and Humus","Booby Trap Anti-Personnel"
0.2717824,0.090909091,"Humid and Humus","Booby Trap Anti-Personnel"
0.24199384,0.363636364,"Humid and Humus","Booby Trap Anti-Personnel"
0.22700875,0.636363636,"Humid and Humus","Booby Trap Anti-Personnel"
0.263776167,0,"Dry and Limy","Booby Trap Anti-Personnel"
0.223564727,0.272727273,"Dry and Limy","Booby Trap Anti-Personnel"
0.253776167,0.636363636,"Dry and Limy","Booby Trap Anti-Personnel"
0.209818455,0.909090909,"Dry and Limy","Booby Trap Anti-Personnel"
0.462235101,0.090909091,"Humid and Limy","Booby Trap Anti-Personnel"
0.413896797,0.363636364,"Humid and Limy","Booby Trap Anti-Personnel"
0.34743163,0.636363636,"Humid and Limy","Booby Trap Anti-Personnel"
0.335347054,0.909090909,"Humid and Limy","Booby Trap Anti-Personnel"
0.444108237,0.090909091,"Dry and Sandy","M14 Anti-Personnel"
0.296072182,0.363636364,"Dry and Sandy","M14 Anti-Personnel"
0.356495062,0.636363636,"Dry and Sandy","M14 Anti-Personnel"
0.320241334,0.909090909,"Dry and Sandy","M14 Anti-Personnel"
0.540784844,0.090909091,"Humid and Sandy","M14 Anti-Personnel"
0.506102004,0.363636364,"Humid and Sandy","M14 Anti-Personnel"
0.401812221,0.636363636,"Humid and Sandy","M14 Anti-Personnel"
0.369002517,0.909090909,"Humid and Sandy","M14 Anti-Personnel"
0.362839599,0.363636364,"Dry and Humus","M14 Anti-Personnel"
0.320241334,0.818181818,"Dry and Humus","M14 Anti-Personnel"
0.446283622,0,"Humid and Humus","M14 Anti-Personnel"
0.391177902,0.272727273,"Humid and Humus","M14 Anti-Personnel"
0.378156758,0.545454545,"Humid and Humus","M14 Anti-Personnel"
0.319939085,0.818181818,"Humid and Humus","M14 Anti-Personnel"
0.519636836,0.090909091,"Dry and Limy","M14 Anti-Personnel"
0.398791077,0.363636364,"Dry and Limy","M14 Anti-Personnel"
0.34743163,0.636363636,"Dry and Limy","M14 Anti-Personnel"
0.323262478,0.909090909,"Dry and Limy","M14 Anti-Personnel"
0.444108237,0.181818182,"Humid and Limy","M14 Anti-Personnel"
0.353473918,0.454545455,"Humid and Limy","M14 Anti-Personnel"
0.36253735,0.727272727,"Humid and Limy","M14 Anti-Personnel"
0.314199046,1,"Humid and Limy","M14 Anti-Personnel"
